*Step  = 0
*Time  = 0
*Data  = x;y;z
75 -0.296447682501 1.3035523175 0.492818300853
76 -1.10379574687 0.496204253127 0.688943825117
77 -0.901906611917 0.496165531843 0.689185950823
78 -0.7 0.496159522235 0.689276041137
79 -0.498093388083 0.496165531843 0.689185950823
80 -0.296204253127 0.496204253127 0.688943825117
81 -1.10383446816 0.698093388083 0.689185950823
82 -0.901923484886 0.698076515114 0.689428977714
83 -0.7 0.698071648581 0.689519023935
84 -0.498076515114 0.698076515114 0.689428977714
85 -0.296165531843 0.698093388083 0.689185950823
86 -1.10384047777 0.9 0.689276041137
87 -0.901928351419 0.9 0.689519023935
88 -0.7 0.9 0.689608662702
89 -0.498071648581 0.9 0.689519023935
90 -0.296159522235 0.9 0.689276041137
91 -1.10383446816 1.10190661192 0.689185950823
92 -0.901923484886 1.10192348489 0.689428977714
93 -0.7 1.10192835142 0.689519023935
94 -0.498076515114 1.10192348489 0.689428977714
95 -0.296165531843 1.10190661192 0.689185950823
96 -1.10379574687 1.30379574687 0.688943825117
97 -0.901906611917 1.30383446816 0.689185950823
98 -0.7 1.30384047777 0.689276041137
99 -0.498093388083 1.30383446816 0.689185950823
100 -0.296204253127 1.30379574687 0.688943825117
101 -1.10391413323 0.496085866773 0.884919693319
102 -0.901971015723 0.496068094556 0.885111549406
103 -0.7 0.496065305298 0.885190478505
104 -0.498028984277 0.496068094556 0.885111549406
105 -0.296085866773 0.496085866773 0.884919693319
106 -1.10393190544 0.698028984277 0.885111549406
107 -0.901979302793 0.698020697207 0.885305080748
108 -0.7 0.698018382975 0.88538312139
109 -0.498020697207 0.698020697207 0.885305080748
110 -0.296068094556 0.698028984277 0.885111549406
111 -1.1039346947 0.9 0.885190478505
112 -0.901981617025 0.9 0.88538312139
113 -0.7 0.9 0.885458896042
114 -0.498018382975 0.9 0.88538312139
115 -0.296065305298 0.9 0.885190478505
116 -1.10393190544 1.10197101572 0.885111549406
