*Step  = 0
*Time  = 0
*Data  = x;y;z
125 0.406101683494 0.406101683494 0.876274099978
*Step  = 4
*Time  = 0.4
*Data  = x;y;z
1 -0.402594990894 -0.402594990894 0.0979267632185
2 -0.201210955815 -0.402584508603 0.0981660366989
3 8.67361737988e-19 -0.402639458954 0.0981846103847
4 0.201210955815 -0.402584508603 0.0981660366989
5 0.402594990894 -0.402594990894 0.0979267632185
6 -0.402584508603 -0.201210955815 0.0981660366989
7 -0.201209641179 -0.201209641179 0.0984018768143
8 -1.73472347598e-18 -0.201230910706 0.0984230700545
9 0.201209641179 -0.201209641179 0.0984018768143
10 0.402584508603 -0.201210955815 0.0981660366989
11 -0.402639458954 -8.67361737988e-18 0.0981846103847
12 -0.201230910706 -7.8062556419e-18 0.0984230700545
13 -5.20417042793e-18 -9.54097911787e-18 0.098449545224
14 0.201230910706 -7.8062556419e-18 0.0984230700545
15 0.402639458954 -8.67361737988e-19 0.0981846103847
16 -0.402584508603 0.201210955815 0.0981660366989
17 -0.201209641179 0.201209641179 0.0984018768143
18 -6.07153216592e-18 0.201230910706 0.0984230700545
19 0.201209641179 0.201209641179 0.0984018768143
20 0.402584508603 0.201210955815 0.0981660366989
21 -0.402594990894 0.402594990894 0.0979267632185
22 -0.201210955815 0.402584508603 0.0981660366989
23 -4.33680868994e-18 0.402639458954 0.0981846103847
24 0.201210955815 0.402584508603 0.0981660366989
25 0.402594990894 0.402594990894 0.0979267632185
26 -0.406189759012 -0.406189759012 0.29220945899
27 -0.202992234382 -0.406212548264 0.292791409532
28 1.30104260698e-17 -0.406261130029 0.29289092281
29 0.202992234382 -0.406212548264 0.292791409532
30 0.406189759012 -0.406189759012 0.29220945899
31 -0.406212548264 -0.202992234382 0.292791409532
32 -0.203004548943 -0.203004548943 0.293365557056
33 2.60208521397e-18 -0.203026126343 0.293470130063
34 0.203004548943 -0.203004548943 0.293365557056
35 0.406212548264 -0.202992234382 0.292791409532
36 -0.406261130029 -1.99493199737e-17 0.29289092281
37 -0.203026126343 -2.08166817117e-17 0.293470130063
38 -1.64798730218e-17 -1.99493199737e-17 0.293587786214
39 0.203026126343 -2.60208521397e-18 0.293470130063
